6in Globe thermometer on tripod_Capitol Mall_on grass_Unshaded					
#	"Date Time, GMT-07:00"	Dry Bulb Temp (Tdb) øC	RH % 	Light Intensity (LI) Lux	Globe Temp (Tg)  øC
1	11:30	33.183	20.157	13091	38.616
2	11:31	35.049	17.769	13248.7	40.978
3	11:32	35.448	18.363	13296	43.525
4	11:33	36.633	19.502	12200.1	45.94
5	11:34	37.645	19.774	12074	47.941
6	11:35	38.254	17.831	11995.1	49.513
7	11:36	38.672	16.407	12231.7	50.473
8	11:37	38.924	16.093	11963.6	50.786
9	11:38	39.205	18.567	11711.3	50.752
10	11:39	39.658	16.202	11545.8	50.926
11	11:40	39.914	17.23	11364.4	51.242
12	11:41	40.085	15.786	11143.7	51.489
13	11:42	40.286	14.921	10986	51.525
14	11:43	40.4	15.364	10899.3	51.596
15	11:44	41.036	16.779	10749.5	51.773
16	11:45	41.736	17.76	10623.4	52.347
17	11:46	41.502	15.416	10473.6	53.038
18	11:47	41.942	15.327	10394.7	53.664
19	11:48	42.386	14.945	10292.2	53.925
20	11:49	41.854	13.527	10142.5	54.112
21	11:50	42.327	14.502	9992.7	54.375
22	11:51	42.983	13.354	9898.1	54.83
23	11:52	42.564	13.263	9803.5	55.213
24	11:53	41.825	13.819	9701	55.213
25	11:54	41.913	14.777	9606.4	54.868
26	11:55	41.707	14.84	9551.2	54.716
27	11:56	41.59	14.835	9464.5	54.602
28	11:57	41.327	15.225	9298.9	54.375
29	11:58	42.356	16.553	9180.6	53.962
30	11:59	42.445	12.963	9180.6	53.739
31	12:00	42.624	13.413	9125.5	53.776
32	12:01	42.356	12.739	9109.7	54.075
33	12:02	42.535	13.924	9101.8	54.489
34	12:03	42.684	14.151	8983.5	54.678
35	12:04	42.179	13.32	8983.5	54.64
36	12:05	42.833	15.552	9023	54.602
37	12:06	42.149	13.319	8983.5	54.678
38	12:07	42.743	14.668	8967.8	54.602
39	12:08	42.803	12.536	8967.8	54.489
40	12:09	42.09	13.316	13461.5	54.489
41	12:10	41.502	13.438	4182.3	54.375
42	12:11	42.475	13.921	11955.7	54.3
43	12:12	42.833	14.598	12034.6	54.64
44	12:13	43.284	13.22	12113.4	55.174
45	12:14	43.677	13.162	12176.5	55.638
46	12:15	43.982	15.533	12263.2	55.988
47	12:16	43.86	12.579	12310.5	56.067
48	12:17	42.983	12.543	12349.9	56.028
49	12:18	43.89	13.097	12428.7	56.145
50	12:19	44.104	12.144	12515.5	56.46
51	12:20	44.442	15.407	12586.4	56.978
52	12:21	44.596	13.645	12641.6	57.299
53	12:22	44.38	12.896	12673.1	57.299
54	12:23	44.472	13.713	12767.7	57.178
55	12:24	43.738	13.165	12807.2	57.218
56	12:25	42.564	14.219	12807.2	56.938
57	12:26	43.982	12.51	12893.9	56.579
58	12:27	44.257	11.78	12949.1	56.54
59	12:28	44.349	12.821	12996.4	56.54
60	12:29	43.133	12.401	13051.6	56.5
61	12:30	42.179	17.274	13106.8	56.303
62	12:31	43.223	13.365	13138.3	56.106
63	12:32	42.923	12.983	13169.8	55.91
64	12:33	41.913	14.19	13240.8	55.754
65	12:34	41.502	14.538	13248.7	55.599
66	12:35	42.803	14.524	13311.7	55.521
67	12:36	42.09	13.904	13327.5	55.483
68	12:37	43.254	12.776	13359	55.406
69	12:38	43.707	14.27	13390.6	55.328
70	12:39	44.012	13.361	13430	55.56
71	12:40	44.043	12.586	13477.3	55.91
72	12:41	44.257	14.073	13500.9	56.303
73	12:42	44.534	12.087	13540.4	56.858
74	12:43	43.951	11.805	13469.4	57.299
75	12:44	44.165	11.85	13437.9	57.218
76	12:45	44.411	11.637	13374.8	57.018
77	12:46	44.165	11.628	13335.4	56.978
78	12:47	42.833	13.826	13264.4	57.058
79	12:48	43.103	16.736	13154.1	57.098
80	12:49	44.319	14.149	13027.9	57.058
81	12:50	44.288	12.374	13138.3	56.738
82	12:51	44.165	14.511	12957	56.028
83	12:52	43.951	12.064	12736.2	55.444
84	12:53	43.073	12.694	12523.4	55.367
85	12:54	42.267	15.013	12137	55.328
86	12:55	43.525	12.121	11719.2	55.328
87	12:56	43.799	13.315	11214.6	55.483
88	12:57	43.921	13.911	10654.9	56.028
89	12:58	43.254	13.955	9929.6	56.619
90	12:59	42.001	13.827	9046.6	56.818
91	13:00	43.314	14.547	8132.1	56.778
92	13:01	42.386	14.652	7162.4	56.818
93	13:02	42.327	13.768	6224.2	56.858
94	13:03	42.327	14.575	5388.5	56.698
95	13:04	43.133	12.771	4726.3	56.46
96	13:05	43.435	12.414	4269.1	56.5
97	13:06	44.104	12.218	3985.2	56.659
98	13:07	43.404	11.747	3851.2	56.778
99	13:08	43.982	11.769	3819.7	56.738
100	13:09	44.165	12.443	3874.9	56.858
101	13:10	44.565	12.533	3985.2	57.138
102	13:11	43.951	11.99	4135	57.38
103	13:12	44.565	13.717	4340	57.461
104	13:13	44.75	12.393	4600.2	57.664
105	13:14	44.75	11.279	4891.9	57.623
106	13:15	44.874	12.694	5230.9	57.623
107	13:16	44.812	15.425	5648.7	57.582
108	13:17	44.843	12.47	6121.7	57.623
109	13:18	44.781	12.653	6650	57.664
110	13:19	44.781	12.097	7241.2	57.827
111	13:20	44.226	13.924	7840.4	57.867
112	13:21	44.135	12.664	8486.9	57.867
